,SS siCtrl set 1,SS siCtrl set 2,SS siCtrl set 3,SS siCtrl set 4,SS siChchd10 set 1,SS siChchd10 set 2,SS siChchd10 set 3,SS siChchd10 set 4,AA siCtrl set 1,AA siCtrl set 2,AA siCtrl set 3,AA siCtrl set 4,AA siChchd10 set 1,AA siChchd10 set 2,AA siChchd10 set 3,AA siChchd10 set 4
Gm32946,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Asgr1,143,183,133,156,91,70,92,64,15,11,16,4,3,9,1,2
Dlg4,1689,2632,2018,2023,1645,1660,1601,1577,1930,1980,1780,1821,1148,1110,1075,1890
Mir324,2,2,1,0,2,3,0,0,3,1,5,6,4,0,0,0
Acadvl,3367,4034,3708,3736,4031,4196,4083,4191,4665,4420,4349,3923,4838,5328,5016,7608
Dvl2,2041,2675,2552,2357,2350,2443,2365,2256,1985,1830,1857,1532,1409,1622,1414,2137
Phf23,3024,3454,3488,3283,3041,3261,3499,3215,2960,2653,2607,2505,2727,3134,2735,4069
Gabarap,6689,7622,6929,7290,8015,8046,8515,8312,6910,6121,6342,5760,8572,10041,8893,14088
Gm51904,27,47,46,18,45,45,45,38,31,28,42,49,14,21,18,37
Ctdnep1,3917,4792,4898,4707,4421,4729,4883,4699,4240,4177,3889,3619,4146,4491,3935,5832
Elp5,2366,2850,2753,2675,2368,2543,2737,2679,2113,1973,1964,1839,1934,2091,1829,3041
Cldn7,45,35,38,35,134,124,117,114,27,8,9,7,13,20,11,9
Gm12310,1,2,0,1,2,1,3,0,0,0,0,0,0,0,1,0
Slc2a4,23,24,21,24,21,26,14,21,5,4,3,2,10,3,6,2
Ybx2,29,60,36,34,55,37,28,38,14,13,11,6,6,3,3,1
Eif5a,31091,32992,35382,34875,28479,31256,35397,35265,27151,25374,24951,23818,26260,29731,27837,42191
Gps2,799,927,908,819,933,870,1030,866,878,769,775,732,750,867,765,1220
Neurl4,2231,2947,2977,2705,2481,2702,2648,2530,3080,3034,2925,2708,2182,2418,2200,3499
2810408A11Rik,159,242,189,151,251,249,239,220,146,134,143,127,128,106,94,168
Gm45960,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
Gm30422,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0
Camta1,560,759,715,612,634,692,648,628,686,593,606,581,522,492,448,927
Vamp3,920,1132,978,1003,1109,1176,1278,1171,770,709,642,718,708,762,703,1147
Gm38529,40,46,53,38,34,60,47,42,40,43,45,47,32,41,52,73
Per3,715,1150,1032,893,954,950,819,810,1015,1062,1041,1028,461,429,418,844
Uts2,1,2,2,2,0,3,0,0,4,3,3,2,0,0,2,5
Gm30120,3,4,0,2,3,1,0,0,1,0,0,1,3,2,0,0
Gm23405,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Tnfrsf9,78,83,89,82,143,144,161,156,11,6,6,5,54,67,27,54
Park7,5415,6052,5759,5921,5389,5490,6369,5984,5150,4509,4578,4255,4943,5525,5149,8012
Errfi1,6360,7830,7746,6934,7179,7233,7430,7441,6886,7070,6684,6843,6986,7297,6627,10668
Rps15a-ps3,20,25,12,15,25,18,11,12,18,7,9,9,7,15,6,11
1700045H11Rik,1,1,2,2,3,4,6,6,0,1,2,1,0,1,4,12
Gm42356,8,3,4,2,3,5,3,3,2,0,2,0,1,1,0,1
Gm51276,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Gm36600,32,58,32,28,64,69,53,39,62,37,27,44,12,15,7,43
Slc45a1,0,4,0,0,1,2,1,5,1,0,2,1,1,1,0,3
Gm13092,11,14,18,13,9,17,12,17,16,12,8,8,3,14,12,21
Rere,5367,8007,7449,6392,6916,7091,6513,6546,6925,7064,6907,6353,6694,6777,6273,9698
Eno1,38425,44162,46954,45631,47114,47188,50244,46704,43575,39594,40813,37589,33347,33889,32243,46370
Car6,18,7,21,15,9,16,6,8,0,0,1,1,2,4,2,4
Slc2a7,2,5,7,1,3,4,1,6,1,0,0,2,0,0,0,0
Slc2a5,87,121,96,90,176,129,137,142,14,1,2,5,2,1,5,6
Gpr157,55,67,76,63,64,82,46,67,28,19,17,17,10,12,10,9
Mir34a,0,0,1,1,0,1,1,2,0,0,0,1,2,0,0,0
Gm13067,9,12,11,8,17,20,19,13,7,11,9,11,4,5,3,5
H6pd,4523,5777,5826,5675,7303,7624,7084,7198,13926,14790,14113,12947,18376,19870,17406,25766
Gm13070,4,11,17,5,10,9,14,9,4,6,3,3,1,1,1,3
Spsb1,831,1147,925,973,946,1005,1070,1025,257,211,186,154,131,149,105,212
Slc25a33,1191,1783,1447,1377,1212,1246,1468,1417,966,985,914,795,831,1018,882,1412
Tmem201,1257,1629,1680,1389,1433,1590,1570,1564,1669,1733,1634,1373,1618,1738,1478,2387
Pik3cd,211,271,289,251,199,176,185,153,216,222,207,197,54,47,51,107
Gm13073,209,471,321,285,299,337,393,317,246,219,213,181,185,191,175,316
Clstn1,5350,6895,6954,6584,6289,6495,6191,6031,6870,6835,6518,6227,5522,6223,5711,8114
Mir5616,0,0,0,1,1,1,0,0,0,0,1,0,0,0,2,0
Ctnnbip1,780,922,915,903,737,711,793,774,952,902,916,846,674,707,791,1237
Gm24381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lzic,1223,1512,1421,1346,1277,1406,1481,1411,1354,1273,1235,1252,1274,1406,1254,2037
Tmem274,4,6,1,8,5,4,1,6,6,2,4,6,4,3,1,7
Nmnat1,490,623,583,542,666,670,692,688,744,758,718,619,744,776,746,1143
Rbp7,7,8,5,6,4,8,13,10,50,52,61,45,53,55,44,81
Ube4bos3,16,42,27,23,25,30,27,19,36,31,23,31,18,10,13,25
Ube4b,5846,7830,7799,7051,6630,7243,6939,6816,4818,4665,4637,4128,4759,4867,4347,6611
Kif1b,5101,6232,6398,5456,6632,7260,6759,6348,6725,6838,6314,5890,8000,8111,7262,11677
Pgd,8969,10030,10722,9926,10794,10822,11629,10542,12578,10869,11149,10005,9291,9582,9093,13909
Rpsa-ps12,62,70,51,65,68,40,58,38,40,35,28,35,26,25,31,46
Cenps,220,232,243,267,164,199,239,212,216,168,178,167,213,252,246,368
Cort,3,0,0,0,3,1,1,2,16,21,17,17,9,5,6,17
Dffa,363,431,526,439,443,497,481,468,502,522,486,461,581,677,597,1044
Gm46722,3,6,4,2,5,4,5,9,6,7,5,7,4,6,11,2
Gm9506,2,3,0,0,0,2,2,1,0,0,1,0,0,1,2,1
Pex14,915,1317,1219,1234,1182,1157,1226,1294,1048,996,978,916,983,1103,968,1576
Gm17029,10,22,16,9,28,12,10,15,9,11,19,14,2,3,10,8
Gm13205,97,126,95,103,83,68,96,88,65,81,55,63,37,58,46,54
Gm42352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
