,SS siCtrl set 1,SS siCtrl set 2,SS siCtrl set 3,SS siCtrl set 4,SS siChchd10 set 1,SS siChchd10 set 2,SS siChchd10 set 3,SS siChchd10 set 4,AA siCtrl set 1,AA siCtrl set 2,AA siCtrl set 3,AA siCtrl set 4,AA siChchd10 set 1,AA siChchd10 set 2,AA siChchd10 set 3,AA siChchd10 set 4
Gpr39,970,1036,1154,1026,1188,1184,1193,1104,1132,1115,992,998,936,923,882,1410
Gm18444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc35f5,3281,4456,3911,3671,5203,5387,5308,5257,3838,3732,3463,3122,4084,4684,3898,6296
Actr3,26397,29699,29100,27848,30482,33133,34332,32357,31843,29702,28699,27348,33543,37392,33243,51340
Gm35355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm41941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dpp10,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Gm28590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8392,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm15394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx18,5935,6540,6882,6481,5901,6370,7221,6698,4568,3888,3905,3534,4999,5628,5106,8054
Htr5b,0,1,0,0,0,1,0,0,0,0,0,0,2,4,0,1
Ccdc93,2219,2973,2806,2488,2433,2596,2625,2331,2377,2270,2217,2100,1938,2080,1871,3108
Gm35243,8,11,9,4,7,19,10,12,16,13,14,14,27,19,18,35
2210011K15Rik,63,103,99,72,113,109,98,95,44,22,30,23,26,25,28,25
Insig2,2219,3011,2873,2660,2604,2670,2650,2583,3154,3049,3092,2913,2263,2526,2200,3949
Gm41940,0,2,0,1,1,0,0,2,0,2,0,0,2,0,0,1
Gm46155,1,4,1,3,0,1,0,1,1,2,2,0,0,0,1,0
Celrr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gm34641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Gm34584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2610027F03Rik,2,1,5,1,5,12,3,5,0,0,0,0,0,2,0,0
Gm34352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
En1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm41939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm46154,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Steap3,294,385,351,318,230,226,316,227,95,92,69,57,68,95,58,126
3110009E18Rik,85,85,86,91,85,101,100,102,107,78,99,91,92,94,85,147
Dbi,5661,6563,6370,6166,6931,7152,7297,7312,8011,7130,7032,6459,8175,8534,7909,13247
Gm41938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm41937,4,1,5,3,3,0,4,1,1,7,2,2,1,1,1,5
Tmem37,387,414,409,364,498,516,524,535,959,865,903,761,1615,1806,1696,2449
Gm41936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm33764,0,0,1,0,0,1,1,2,3,0,0,0,1,1,1,4
Sctr,1,2,2,1,3,6,2,5,7,6,5,4,11,5,4,7
Gm33817,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Gm17973,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cfap221,5,4,6,6,0,5,2,6,0,0,0,0,1,0,0,1
Tmem177,687,764,793,818,686,718,698,698,597,621,562,503,566,658,599,914
Gm28209,5,1,5,3,4,0,3,1,3,3,7,2,1,0,2,2
Gm3551,1,2,6,2,0,0,0,2,3,4,3,2,1,0,0,3
Gm8338,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gm3851,1,0,3,4,2,7,1,4,1,1,5,3,4,6,3,8
Ptpn4,1139,1627,1768,1241,1342,1543,1577,1295,1560,1519,1410,1563,1821,1713,1327,2405
Epb41l5,2878,3474,3454,2976,3686,3870,3801,3490,4383,4293,4335,4058,4328,4537,4197,6929
3830432H09Rik,5,4,4,2,8,5,2,5,13,9,14,16,6,14,5,17
Tmem185b,907,1135,1122,1018,1084,1184,1208,1121,910,854,905,770,1094,1178,1019,1645
Gm29454,2,1,3,3,1,2,4,1,1,2,2,0,2,0,1,0
Ralb,4392,5132,5083,4839,4260,4206,4658,4468,4150,3865,3608,3208,3168,3273,3071,4980
Gm46145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115487115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm33575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm33490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm41935,3,2,5,2,0,1,0,0,0,0,0,1,1,0,1,0
Inhbb,3,0,3,0,2,0,5,0,0,2,0,0,0,0,0,0
Gm33388,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8321,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm41934,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Gli2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tfcp2l1,1435,1598,1668,1475,1305,1335,1211,1158,4126,3982,3906,3384,5356,4989,4935,7329
2900060B14Rik,6,1,10,4,6,3,2,2,10,15,8,8,10,5,8,7
Gm26080,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Clasp1,5252,6349,6661,6106,6549,6820,6631,6490,5654,5630,5290,5288,6152,6197,5810,8367
Gm28867,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nifk,2963,3186,3229,3080,2867,3154,3432,3196,2693,2681,2687,2565,3126,3589,3071,5072
Tsn,6034,6504,7012,6343,6069,6422,6777,6458,6073,5926,5684,5526,6288,6549,6273,9662
Gm7200,1,0,1,0,1,0,0,0,0,0,0,0,0,3,2,4
Gm7195,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
B020011L13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18182,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0
Zfp813-ps,0,0,1,0,0,0,4,0,0,3,2,3,0,1,1,0
Cntnap5a,9,4,9,5,9,6,4,5,0,0,3,0,0,2,0,2
LOC108167704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm32985,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Gm32810,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Gm6717,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Gm17752,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Gm6028,5,2,1,0,1,2,2,3,4,1,0,1,2,1,1,2
Dsel,235,330,318,312,224,322,350,237,151,109,115,90,95,66,61,103
Gm8173,4,2,3,0,1,2,5,2,3,0,0,3,3,0,2,1
Cdh19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm41930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdh7,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0
Gm8141,30,38,38,39,20,31,21,22,32,28,19,21,12,31,20,36
Gm6679,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Gm5702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm41929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gm28282,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
D830032E09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24267,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm15389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Serpinb8,495,739,574,543,345,414,402,421,477,556,487,457,175,164,198,257
Serpinb10,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0
Serpinb2,167,203,201,190,47,64,119,87,19,11,7,9,9,6,9,8
Serpinb7,0,1,6,2,0,0,1,3,1,0,0,0,0,0,0,1
Serpinb11,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Gm8089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpinb3d,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Serpinb13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Serpinb12,0,1,0,0,2,0,0,0,99,66,70,92,256,305,231,320
Pou2f3-rs1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Serpinb5,23,29,23,21,85,89,93,116,9,6,8,9,46,51,52,66
Vps4b,6014,7416,7100,6429,6545,7138,7596,6753,6627,6334,6125,5822,5998,6411,5603,9717
Kdsr,1977,2716,2466,2250,2500,2507,2535,2505,2455,2432,2355,2013,2441,2507,2288,4000
Gm37053,0,5,4,0,5,3,0,1,0,2,2,6,1,0,2,2
Mir3473f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bcl2,2287,3279,2944,2623,2186,2505,2404,2200,3245,3569,3344,3343,2549,2373,2442,4083
Gm41928,1,5,1,2,6,5,3,4,5,6,3,2,8,9,14,6
Gm6651,0,0,0,1,0,2,0,0,2,1,0,1,0,0,1,2
Phlpp1,1938,2753,2528,2308,2132,2390,2278,2189,3732,4022,3780,3627,3674,3591,3444,5125
Gm20753,7,0,2,2,2,2,5,1,1,0,1,0,3,3,2,2
Gm26509,18,30,22,10,25,18,19,8,29,13,20,12,17,11,9,20
Zcchc2,3164,4175,4043,3415,3397,3613,3583,3339,4302,4324,4050,3890,4220,4107,3805,5932
Gm7160,63,98,94,75,75,65,71,66,66,75,59,60,84,89,59,119
Gm18801,0,0,1,0,0,0,0,2,0,0,2,2,0,0,0,4
Gm26214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm41927,13,3,16,3,9,10,10,9,8,10,4,8,9,15,2,13
Gm41926,1,3,4,3,2,8,4,9,1,2,3,0,1,0,2,2
Tnfrsf11a,448,631,580,554,477,566,492,440,275,278,263,233,88,105,87,175
Gm10193,7,11,17,13,8,7,7,9,4,13,12,9,2,14,15,14
Relch,1566,1891,1982,1523,1843,1976,1842,1712,2714,2714,2564,2673,2404,2267,1925,3546
Gm8004,1,4,7,3,1,3,0,1,0,2,2,0,2,2,0,3
Gm20302,20,41,33,33,27,25,18,24,27,36,28,19,13,10,10,26
Pign,2749,3786,3751,2922,3003,3299,3099,2845,5025,5179,5009,5132,3976,3886,3453,6152
Gm28403,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
Gm17634,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
Rnf152,25,16,16,12,21,8,11,14,34,20,18,14,4,4,5,7
Gm41925,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4
Cdh20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Gm5260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gm53054,0,1,1,6,1,1,5,4,0,0,1,1,1,0,3,1
Gm23036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm3116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24122,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gm18969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psmb6-ps2,0,1,2,0,1,0,0,1,2,1,2,1,2,2,3,0
Gm31973,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm20268,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0
Gm46243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29667,3,7,8,6,7,5,4,7,6,10,8,6,4,2,2,2
Gm19029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdx2-ps1,26,28,25,14,31,31,22,24,38,35,33,29,29,49,49,67
Cntnap5b,3,1,2,2,7,1,2,0,5,7,16,5,6,7,2,8
Gm51641,28,31,25,24,44,45,55,57,178,190,145,149,265,256,260,458
Gm18248,2,1,0,0,3,1,1,0,14,12,10,10,10,6,5,14
Gm7967,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
Gm3555,4,2,2,8,3,0,2,3,20,16,26,9,24,11,22,25
Slco6d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm46078,0,0,1,2,0,2,1,0,0,0,1,1,0,2,0,0
Gm29461,7,6,10,5,37,21,32,27,1,3,0,0,7,9,6,12
1810006J02Rik,4,0,0,0,0,0,0,1,1,0,0,0,1,0,3,2
Gm51640,19,37,41,25,44,48,32,38,15,28,22,32,34,14,26,54
Gm24465,1,6,4,3,3,3,2,7,2,0,0,1,1,2,0,1
B230216N24Rik,29,57,33,20,35,45,34,33,17,20,28,30,22,22,15,41
Gm3531,107,118,138,125,103,112,146,124,129,125,132,119,137,164,159,225
Gm31771,1,1,2,0,1,0,1,1,1,3,0,1,0,1,1,0
Pam,13308,16572,16611,14744,21326,22507,21811,21974,17919,17838,17185,16751,22789,24927,21644,33808
Gin1,467,632,558,493,482,594,564,556,525,475,471,472,442,503,432,779
Ppip5k2,4613,5281,5757,4784,5578,6305,6500,6006,5129,4601,4561,4639,6455,6473,5267,9211
Macir,3321,3980,3941,3583,3625,3784,3893,3667,4387,4467,4424,4129,3802,3951,3475,5840
Gm7135,0,0,1,0,1,1,1,0,2,2,1,1,2,0,0,2
Gm7133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slco6c1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Gm6430,36,36,36,39,30,29,20,19,31,28,22,27,19,21,31,43
Slco6b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panct2,0,1,0,0,0,0,0,0,198,199,173,164,164,137,155,226
Slco4c1,0,0,0,0,0,0,0,0,216,289,233,236,312,329,272,421
Gm1833,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
Gm22360,2,1,4,2,3,3,2,3,4,7,3,1,1,5,10,9
Gm30431,12,17,19,14,25,14,18,37,0,0,1,0,0,0,0,0
St8sia4,325,362,387,312,307,353,340,292,26,1,1,3,3,0,0,3
Gm15427,343,480,379,349,365,358,377,349,395,411,422,324,338,369,370,583
Fam174a,482,616,615,557,573,560,640,524,631,552,528,502,614,668,604,910
Gm5264,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm23389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7895,9,10,9,15,10,7,7,2,8,12,17,17,5,10,15,16
Gm7891,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Pdcd1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Neu4,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Gal3st2c,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Gm7889,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18666,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Gal3st2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
D2hgdh,999,1332,1305,1130,1344,1315,1275,1293,1291,1134,1256,1086,1140,1225,1046,1829
Gm22089,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ing5,1871,2247,2184,2135,1939,2098,2224,2233,1362,1335,1266,1183,1496,1592,1480,2402
Dtymk,3231,3757,3936,3612,3644,3871,4303,4130,3738,3606,3431,3354,3745,4042,3552,6758
Atg4b,2063,2454,2385,2182,2292,2284,2606,2431,2535,2382,2422,2158,2512,2873,2606,3984
Thap4,2114,2569,2336,2411,2308,2498,2558,2372,2359,2226,2168,1868,1940,2158,2055,3006
Bok,1281,1606,1621,1448,1141,1271,1392,1363,1572,1484,1339,1231,1259,1393,1300,1980
Stk25,2551,3461,3077,2663,3339,3177,3241,2965,4922,4959,4716,4373,3736,3849,3515,6464
Gm18874,149,118,158,187,123,141,158,153,231,234,191,189,227,183,205,291
Gm41920,11,9,12,5,14,7,11,2,11,24,8,16,11,7,10,15
Farp2,495,619,622,608,554,666,600,593,879,860,791,759,928,945,805,1340
Septin2,7950,9737,9355,8628,7755,8512,8731,8202,6983,6484,6210,5944,5140,5338,4626,8607
Gm17415,4,12,5,4,10,7,9,7,21,15,22,12,8,3,5,7
Hdlbp,21303,25482,26521,24134,27262,28517,29152,27304,24609,23078,22399,21672,28753,31103,27487,39910
Ano7,4,6,5,0,1,6,6,6,3,1,2,1,2,10,1,6
Gm26446,1,0,4,1,2,1,2,0,0,2,2,2,1,0,0,3
Mir6345,0,1,0,0,1,1,0,0,0,0,0,3,2,0,0,2
Mir6902,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ppp1r7,1969,2184,2302,2296,2255,2386,2568,2370,2297,2196,2084,1894,2724,2990,2705,4361
Pask,1366,1679,1822,1555,1495,1662,1690,1588,1361,1293,1297,1294,1139,1225,1131,1887
Gm7867,5,6,3,10,2,10,8,11,10,6,6,11,9,7,13,10
Gm28535,20,37,32,29,34,25,34,17,20,11,18,14,10,13,24,20
Mterf4,679,834,743,778,867,878,934,890,809,797,749,710,855,822,785,1358
Mir6901,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sned1,68,137,87,75,111,87,101,103,114,124,144,127,69,59,66,84
Crocc2,6,3,3,13,15,15,14,16,11,12,17,13,4,5,1,14
Mab21l4,174,231,160,221,356,316,472,483,403,459,385,416,711,795,725,1132
Agxt,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0
Kif1a,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0
Aqp12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gpr35,30,26,33,35,31,38,29,37,52,58,67,46,60,42,66,76
Capn10,895,1045,992,1005,1034,1083,1171,1074,1147,934,1100,932,1100,1277,1174,1818
9430060I03Rik,14,8,14,9,15,11,12,8,15,14,3,8,15,9,8,12
Rnpepl1,2959,3781,3888,3528,3832,3914,3924,3781,4506,4825,4339,4108,4336,4475,4198,6189
5033417F24Rik,6,15,18,17,13,16,19,12,12,17,9,16,14,28,23,25
Dusp28,254,379,331,363,311,313,321,358,241,254,219,245,314,335,303,529
LOC115487694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm36184,3,1,4,0,2,0,5,0,6,2,4,7,1,2,1,10
Ankmy1,14,21,29,8,26,20,28,25,8,32,25,27,12,10,21,22
Mir149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gm29480,2,0,2,3,0,1,1,0,1,0,1,2,1,1,0,4
Gpc1,2204,3034,2949,2834,2707,2570,2979,2724,7527,8532,7906,7676,5270,5686,5315,7756
Gm29481,6,12,18,8,14,12,12,15,9,19,22,11,12,8,12,12
Gm36102,3,3,5,4,8,7,14,10,1,1,2,1,0,0,0,1
Gm29483,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otos,2,2,5,2,7,2,2,3,9,2,7,5,13,5,10,3
Cops9,1617,1784,1775,1880,1688,1707,1953,1911,1771,1532,1562,1432,1835,2141,2002,3260
Mir6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufa10,4202,4486,4704,4674,4168,4260,4543,4499,4175,3825,3701,3594,4376,5020,4417,6822
Gm7837,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
LOC108167659,2,5,4,3,7,2,2,8,12,7,5,2,4,0,8,8
Hdac4,1863,2519,2424,2098,2060,2131,2118,2047,1842,2032,1943,1775,1797,1804,1645,2660
Gm46242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm46117,10,10,2,6,8,6,5,14,7,6,13,10,10,3,0,1
Twist2,65,100,115,116,50,43,36,36,19,19,11,7,4,6,4,19
Gm28380,1,3,2,0,0,0,2,0,0,1,0,0,0,0,0,0
Asb1,1033,1273,1294,1110,1226,1327,1200,1193,1856,1907,1861,1820,1501,1504,1481,2406
Traf3ip1,1300,1542,1540,1428,1538,1650,1643,1579,1128,1045,974,958,1080,1153,1005,1833
Gm19085,9,3,6,3,1,2,7,2,1,2,0,0,1,5,2,9
Gm28382,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gm35591,10,11,13,13,16,23,16,18,9,19,13,10,16,19,13,37
Per2,677,934,929,723,782,911,745,773,1009,956,935,819,1023,894,856,1502
Hes6,948,1059,1060,1049,1186,1143,1089,1091,1258,1153,1190,1077,888,996,946,1520
1700020N18Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilkap,2606,3056,3061,2782,2744,2872,3042,2961,2521,2357,2352,2304,2186,2371,2204,3634
Erfe,601,851,695,683,604,667,662,631,181,160,138,119,56,56,50,87
Klhl30,31,45,19,24,15,22,19,29,5,5,4,2,2,3,1,6
Espnl,10,18,25,13,14,12,18,18,10,1,4,3,9,4,5,13
Scly,1602,1927,1814,1825,1916,1925,2047,1858,954,794,788,700,842,1102,866,1416
Gm7785,46,50,61,55,61,70,52,53,78,84,63,66,45,44,36,65
Ube2f,2164,2474,2420,2478,2463,2771,3129,2843,1780,1640,1783,1658,2076,2303,1966,3385
Ramp1,358,491,385,501,410,403,486,452,26,14,11,8,24,38,24,48
Gm7776,1,1,8,1,2,5,2,3,1,0,0,0,0,0,2,2
Gm35443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rbm44,131,149,143,118,128,162,138,115,16,3,1,0,2,0,0,1
Lrrfip1,12994,16847,15659,14205,14019,14810,17310,14642,10039,9323,9039,8897,6809,7366,6688,10957
Rab17,264,296,296,355,467,455,438,427,225,220,218,171,217,229,243,358
Prlh,8,10,6,12,21,14,11,6,58,50,59,35,34,29,25,62
Mlph,2478,2888,3158,2680,3248,3259,3007,2744,8693,8922,8875,8093,6853,7069,7125,10138
Gm35381,44,27,30,26,20,29,37,38,15,10,18,18,19,12,21,22
Col6a3,35,60,77,57,52,32,51,41,2,0,1,1,2,0,0,2
Gm41918,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,1
Gm35332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gm9991,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gm35242,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cops8,3551,3996,4240,3796,3638,3877,4272,4138,3953,3699,3663,3573,4109,4571,4161,6422
Gm35141,4,3,1,1,1,3,0,6,0,2,2,3,1,0,0,1
Gm35048,37,33,30,34,33,41,41,47,35,20,30,36,30,33,36,38
Gm28722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34992,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2700003A03Rik,4,2,5,2,3,10,12,6,0,1,0,2,0,0,1,0
Gm34930,0,0,5,3,1,2,2,5,2,1,3,0,0,0,0,0
Ackr3,824,1072,991,962,797,744,884,850,405,417,404,376,150,178,192,315
4930434B07Rik,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Iqca,0,1,0,2,1,0,2,1,1,0,1,0,0,0,0,0
Gm41915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asb18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LOC102637806,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Gbx2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4933400F21Rik,0,2,4,0,1,2,1,2,1,3,1,2,4,3,0,2
Gm41914,39,58,70,60,49,61,41,35,17,34,33,24,27,36,32,38
Agap1,5530,7167,6947,6430,6286,6408,6395,6405,4545,4472,4161,3976,4585,4671,4473,6823
Gm41913,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Gm5259,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gm34331,20,30,21,17,31,39,28,48,29,42,38,24,33,43,44,62
Sh3bp4,4098,4912,4741,4707,4367,4213,4273,4136,3728,3564,3430,3319,2974,2935,2938,4062
Gm18699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1700067G17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34194,0,1,0,0,0,3,0,4,0,1,1,1,0,0,0,3
Platr5,5,7,9,4,6,6,5,13,1,0,0,1,0,0,0,0
Arl4c,8609,11254,10278,9996,9782,10144,10462,10422,9584,9421,8746,8438,7526,8401,7627,12086
Gm41912,3,4,0,1,7,0,1,1,1,4,1,4,1,2,1,2
Gm19589,93,151,132,132,142,191,149,158,64,43,59,40,55,56,50,74
Glrp1,1077,1667,1429,1287,1309,1402,1417,1257,99,31,13,7,16,8,11,18
Gm28888,16,54,57,35,84,60,44,81,59,47,55,59,84,63,60,137
Gm29538,0,0,1,1,1,3,4,11,3,4,4,1,5,1,6,4
Spp2,20,17,31,24,93,66,60,64,48,37,41,36,190,229,196,276
Gm51639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trpm8,2,2,1,4,3,3,1,7,1,8,1,3,3,3,8,3
Hjurp,13501,18198,18225,14458,16504,17422,16831,14914,26454,26511,25462,23908,21016,19303,19441,33515
Mroh2a,1,4,6,7,5,8,3,2,14,13,17,19,6,8,12,15
Ugt1a1,4,8,8,5,6,11,3,3,14,16,28,11,45,30,29,42
Dnajb3,1,3,4,2,2,4,1,4,0,1,1,1,1,0,0,4
Ugt1a2,0,0,0,3,4,1,3,3,1,0,2,0,2,2,2,0
Gm15376,0,0,2,3,10,2,2,0,2,1,1,1,2,5,1,2
Gm15368,3,1,3,0,1,2,8,1,0,1,0,0,2,0,0,1
Ugt1a5,0,6,7,2,5,1,2,2,2,1,2,1,4,3,0,3
Gm15371,1,5,3,1,1,0,5,0,0,4,2,0,3,1,1,3
Gm15374,2,1,2,0,6,1,0,3,0,1,2,0,4,1,0,0
Ugt1a6a,500,556,600,480,771,799,626,593,615,592,584,493,1786,2065,1656,2391
Gm15372,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Ugt1a6b,11,10,12,2,14,11,12,16,3,0,0,5,9,13,16,2
Ugt1a7c,139,172,202,137,116,127,112,106,17,6,8,3,8,23,8,17
Ugt1a8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Ugt1a9,2,0,2,1,1,1,5,3,7,5,7,4,30,27,39,41
Gm15375,0,0,0,0,0,0,0,0,0,0,1,1,6,5,2,0
Gm5832,3,4,2,2,1,6,2,1,1,1,1,1,3,1,2,0
Usp40,2203,2885,2747,2388,2609,2899,2770,2607,3363,3294,3204,3140,3579,3464,3241,5338
Gm19582,0,2,1,1,1,1,0,0,0,3,0,0,2,3,0,3
Dgkd,8045,10755,9722,9436,9561,10210,10492,10400,9076,9379,8985,8373,7791,8183,7686,12086
Sag,57,140,110,60,70,61,73,47,122,102,104,75,60,31,40,87
Scarna6,1,3,7,1,0,5,4,2,7,3,5,7,0,0,3,5
Gm25395,2,3,9,1,4,7,2,2,5,4,5,5,3,4,7,4
Atg16l1,1502,1967,1916,1667,1866,1924,1995,1960,1923,1768,1813,1505,1644,1861,1690,2806
Gm33517,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0
Gm33470,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Inpp5d,0,0,2,3,2,0,1,0,0,0,1,0,0,1,0,1
Neu2,109,120,121,112,149,139,134,142,168,186,164,148,262,279,217,367
Gm46099,0,0,0,0,0,3,0,0,1,1,0,2,1,0,0,0
