"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pcbp4",1586.11949227731,-0.478891156442993,0.0624253519260285,-7.67142101193853,1.70101216582038e-14,4.386721374299e-12
"Tspan31",4181.96898643217,0.205556482564351,0.0268119682586491,7.66659428287373,1.76623345570199e-14,4.50486576998277e-12
"Rgmb",971.56408371353,-0.455549184227204,0.0594588251085382,-7.66159074612775,1.83644046501617e-14,4.63301991228535e-12
"Cpsf6",5994.45567959179,-0.410053792346662,0.053548997967707,-7.65754370593352,1.89522860050484e-14,4.72991998039971e-12
"Rhob",3485.88913727188,-0.393541722486548,0.0516225985622924,-7.62343883196166,2.47005372968994e-14,6.09893053894719e-12
"Sugct",21.1882070038943,2.13372004180376,0.280294815480396,7.61241351591462,2.69024207337474e-14,6.5726861603187e-12
"Heg1",3448.36114563423,-0.772179021595208,0.101536593919117,-7.6049332737153,2.85050926029958e-14,6.86559405908114e-12
"Pip4k2b",3098.11537090173,-0.341698884855747,0.0449362331490969,-7.60408385193306,2.86929178686286e-14,6.86559405908114e-12
"Wdr72",191.07572648901,1.05351896323641,0.138678898684665,7.59682239496258,3.03490604149644e-14,7.18777236970739e-12
"Hmgn3",665.836741735915,-0.765495942146442,0.101321196785554,-7.55514113958414,4.18405889934791e-14,9.80929364180454e-12
"Acnat1",477.721480019973,1.39768274914752,0.187233362063194,7.46492363191012,8.33479384091843e-14,1.93450565047717e-11
"Gm46351",83.1208928563108,1.56277707237568,0.210472928007834,7.42507403288233,1.12716850979916e-13,2.58426311097316e-11
"Itpk1",2023.52519877684,-0.308928488570622,0.0416117060123228,-7.42407649614599,1.13569511985895e-13,2.58426311097316e-11
"Efna5",1578.52426642009,-0.450728021175606,0.0608577552688647,-7.40625445654913,1.29916447568783e-13,2.92753470686549e-11
"Fam83b",379.898912053776,0.536524730263872,0.0725690151473674,7.39330317731804,1.43225397454303e-13,3.19640526434075e-11
"Mx1",16.8567318175063,3.26689853819985,0.445399350456013,7.33476269072935,2.22114699519692e-13,4.90979254843053e-11
