,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Slc38a10,6151.914508,0.270104592,0.056367155,4.791879089,1.65E-06,7.24E-05
Cyp4f16,996.674346,0.281104006,0.058751088,4.784660424,1.71E-06,7.49E-05
Igsf23,173.79413,0.777985548,0.162709191,4.781448067,1.74E-06,7.59E-05
Kdf1,38.31959812,0.905355577,0.18969686,4.772643986,1.82E-06,7.91E-05
Ttl,778.7974206,-0.286219837,0.059972725,-4.772500153,1.82E-06,7.91E-05
Als2cl,4200.378293,-0.805576931,0.168842863,-4.771163645,1.83E-06,7.95E-05
Pde6c,13.8164832,1.243348194,0.26067135,4.769792284,1.84E-06,7.99E-05
Mal2,3318.227182,0.463462733,0.097416925,4.757517573,1.96E-06,8.47E-05
Sftpa1,267.1921979,4.650666997,0.978368727,4.753491058,2.00E-06,8.63E-05
Esam,115.151011,0.691992501,0.145607426,4.752453374,2.01E-06,8.65E-05
LOC115489723,22.00851793,-1.4907718,0.313696218,-4.752278529,2.01E-06,8.65E-05
Tbc1d8b,904.9068892,0.287608077,0.060575701,4.747911641,2.06E-06,8.81E-05
Gne,2036.89363,0.165974484,0.034958059,4.747817497,2.06E-06,8.81E-05
Zfp81,1201.567691,-0.317995241,0.067047865,-4.742809332,2.11E-06,9.01E-05
Adgrg1,9369.100929,0.483311648,0.10197582,4.739473014,2.14E-06,9.14E-05
Entpd7,882.2099886,0.32198218,0.068002555,4.734854142,2.19E-06,9.34E-05
Zscan4-ps1,4.165830195,3.301580359,0.697607057,4.732722134,2.22E-06,9.42E-05
Gm15401,76.30266991,2.008503126,0.424480918,4.731668824,2.23E-06,9.44E-05
9230112J17Rik,41.36780481,1.092810321,0.230964568,4.731506348,2.23E-06,9.44E-05
Muc5ac,17.57353908,1.965914834,0.415799882,4.72803124,2.27E-06,9.58E-05
Cpne3,6206.098337,-0.277577155,0.058732351,-4.726137323,2.29E-06,9.66E-05
Adcy7,351.6339102,-1.112448862,0.235636878,-4.721030395,2.35E-06,9.88E-05
Dnase2a,268.3608372,-0.397403372,0.08426226,-4.716267641,2.40E-06,0.000101002
Rhobtb3,4561.867963,-0.449594662,0.095340929,-4.715652215,2.41E-06,0.000101124
Pdk2,946.6118179,0.765239428,0.162327687,4.714164542,2.43E-06,0.000101429
Zfpm2,4140.898103,-0.564059443,0.119652914,-4.71413042,2.43E-06,0.000101429
Fkbp9,9118.674029,-0.191921228,0.040714821,-4.713792781,2.43E-06,0.000101429
Gm35089,14.93299215,1.673211526,0.354977402,4.713571954,2.43E-06,0.000101429
Adm,73.05684129,-1.42442894,0.302371821,-4.710852138,2.47E-06,0.000102608
Mtmr10,6548.170811,-0.439822216,0.093443148,-4.706842884,2.52E-06,0.000104459
Gm32861,7.183903711,1.883250905,0.400355305,4.703948921,2.55E-06,0.000105762
Hoga1,144.3723208,-0.406507625,0.086533198,-4.697707156,2.63E-06,0.00010885
Lix1l,2529.883137,-0.254179833,0.054112727,-4.697228309,2.64E-06,0.000108912
Yipf1,831.1594699,0.314282657,0.066926518,4.695936198,2.65E-06,0.000109408
Arg2,25.66669633,2.326342878,0.495921852,4.690946508,2.72E-06,0.000111912
Tstd1,88.14327554,-0.499646556,0.106576995,-4.688127624,2.76E-06,0.000113236
Vps25,1495.274899,0.218037703,0.046512726,4.687699941,2.76E-06,0.000113236
Fabp2,126.3163777,1.261276262,0.269074962,4.687453094,2.77E-06,0.000113236
Sik2,2689.612949,-0.432580535,0.092303119,-4.686521345,2.78E-06,0.000113475
Nek6,7298.130534,0.236504624,0.050467234,4.686300469,2.78E-06,0.000113475
Msl2,2151.622741,-0.202464775,0.043207702,-4.685849122,2.79E-06,0.000113526
Gm16124,8.531197431,1.63170538,0.348391779,4.68353583,2.82E-06,0.000114614
Klhdc8a,475.7626546,-0.603162632,0.128898709,-4.679353539,2.88E-06,0.00011665
Mtx2,3445.061159,0.215987765,0.046159011,4.679211313,2.88E-06,0.00011665
